id,side,m,n,combat,movement,VP,label,pad,img,color,enter_time,group,range,size
1,0,0,0,4,6,20,Princess,HQ,,Kingdom,0,0,1,X
2,0,1,0,10,6,15,Knight,cavalry,,Kingdom,0,0,1,I
3,0,0,1,8,6,10,serve,cavalry,,Kingdom,0,0,1,I
4,0,2,0,5,4,3,milita,infantry,,Kingdom,0,0,1,I
5,0,1,1,5,4,3,milita,infantry,,Kingdom,0,0,1,I
6,0,0,2,8,3,8,piker,infantry,,Kingdom,0,0,1,I
7,0,3,0,8,3,8,piker,infantry,,Kingdom,0,0,1,I
8,0,2,1,7,4,6,archer,infantry,,Kingdom,0,0,1,I
9,1,0,7,8,5,10,head,HQ,,Empire,0,1,1,X
10,1,0,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
11,1,1,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
12,1,2,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
13,1,3,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
14,1,4,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
15,1,5,6,4,4,4,warrior,infantry,,Empire,0,1,1,I
16,1,6,6,3,4,3,criminal,infantry,,Empire,0,1,1,I
17,1,1,5,3,4,3,criminal,infantry,,Empire,0,1,1,I
18,1,2,5,3,4,3,criminal,infantry,,Empire,0,1,1,I
19,1,3,5,3,4,3,criminal,infantry,,Empire,0,1,1,I
20,1,4,5,2,4,2,serf,infantry,,Empire,0,1,1,I
21,1,5,5,2,4,2,serf,infantry,,Empire,0,1,1,I
22,1,6,5,2,4,2,serf,infantry,,Empire,0,1,1,I
