id,side,m,n,combat,movement,VP,label,pad,img,color,enter_time,group
1,0,0,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
2,0,1,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
3,0,2,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
4,0,3,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
5,0,4,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
6,0,5,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
7,0,6,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
8,0,7,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
9,0,8,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
10,0,9,0,4,5,1,Kindom soilder,infantry,,kingdom,0,0
11,0,0,1,8,6,10,Princess,infantry,,kingdom,0,0
12,1,0,5,5,4,2,Empire soilder,infantry,,empire,0,1
13,1,1,5,5,4,2,Empire soilder,infantry,,empire,0,1
14,1,2,5,5,4,2,Empire soilder,infantry,,empire,0,1
15,1,3,5,5,4,2,Empire soilder,infantry,,empire,0,1
16,1,4,5,5,4,2,Empire soilder,infantry,,empire,0,1
17,1,5,5,5,4,2,Empire soilder,infantry,,empire,0,1
18,1,6,5,5,4,2,Empire soilder,infantry,,empire,0,1
19,1,7,5,5,4,2,Empire soilder,infantry,,empire,0,1
20,1,8,5,5,4,2,Empire soilder,infantry,,empire,0,1
21,1,9,5,5,4,2,Empire soilder,infantry,,empire,0,1
22,1,10,5,5,4,2,Empire soilder,infantry,,empire,0,1
23,1,11,5,5,4,2,Empire soilder,infantry,,empire,0,1
24,1,3,3,6,8,5,Knight,cavalry,,empire,0,1
25,1,4,4,2,4,20,King,HQ,,empire,0,1
