id,side,m,n,combat,movement,VP,label,pad,img,color,enter_time,group,range,size
1,0,0,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
2,0,1,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
3,0,2,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
4,0,3,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
5,0,4,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
6,0,5,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
7,0,6,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
8,0,7,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
9,0,8,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
10,0,9,0,4,5,1,Kindom soilder,infantry,,Kingdom,0,0,1,I
11,0,0,1,8,6,10,Princess,infantry,,Kingdom,0,0,1,X
12,1,0,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
13,1,1,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
14,1,2,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
15,1,3,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
16,1,4,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
17,1,5,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
18,1,6,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
19,1,7,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
20,1,8,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
21,1,9,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
22,1,10,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
23,1,11,5,5,4,2,Empire soilder,infantry,,Empire,0,1,1,I
24,1,3,3,6,8,5,Knight,cavalry,,Empire,0,1,1,X
25,1,4,4,2,4,20,King,HQ,,Empire,0,1,1,III
